Localization,Count
Cellular thylakoid lumen,32
Nucleus lamina,32
Chloroplast envelope,32
Cytoplasmic granule membrane,32
Growth cone membrane,32
Glycosome,31
Protein storage vacuole,31
Chromoplast,31
Filopodium tip,31
Myelin membrane,30
Stereocilium membrane,30
Cortical granule,30
Zona pellucida,30
Prospore membrane,29
I band,29
Chromaffin granule,29
Synaptic cell membrane,28
Host nucleus membrane,28
Periplasmic flagellum,27
Host mitochondrion outer membrane,27
Hemidesmosome,26
Organellar chromatophore thylakoid membrane,26
Presynaptic active zone,26
A band,26
Chloroplast nucleoid,25
Host cell projection,25
Host filopodium,25
Organellar chromatophore,25
Parasitophorous vacuole membrane,25
Invadopodium,24
Photoreceptor outer segment membrane,24
Extracellular vesicle membrane,23
Golgi outpost,23
Neuronal dense core vesicle,22
Apicolateral cell membrane,22
Plastid thylakoid membrane,21
Host cell outer membrane,20
Host chloroplast envelope,20
Kinocilium,19
Capsule,19
Smooth endoplasmic reticulum membrane,19
Host nucleoplasm,19
Parasitophorous vacuole,19
Acrosome inner membrane,19
Ascus epiplasm,19
Spore,18
Cytolytic granule membrane,18
Kinetoplast,18
Parasitophorous vacuole lumen,18
Perispore,17
Endosome lumen,17
Chlorosome,17
Prevacuolar compartment,16
Symbiosome,16
Target cell,16
Target cell cytoplasm,16
Perinuclear theca,15
Host cis-Golgi network,15
Zymogen granule,15
Acrosome lumen,15
Host vacuole,15
Forespore outer membrane,14
COPII-coated vesicle,14
Host pathogen-containing vacuole,14
Host pathogen-containing vacuole membrane,14
Peribacteroid membrane,13
Sarcoplasm,13
Photoreceptor inner segment membrane,13
Etioplast membrane,13
Chromaffin granule lumen,13
Bleb,13
Contractile vacuole membrane,13
Chlorosome envelope,13
Bud membrane,13
Protein storage vacuole membrane,12
Hydrogenosome,12
Host microsome membrane,12
Paranodal septate junction,12
Host synapse,11
Host presynaptic cell membrane,11
Host secretory vesicle,11
Host synaptic vesicle membrane,11
Zymogen granule lumen,11
Plastid stroma,11
Acrosome outer membrane,11
Contractile vacuole,11
Bacterial extracellular vesicle,11
Host smooth endoplasmic reticulum membrane,11
COPI-coated vesicle,11
Septate junction,10
Neuronal dense core vesicle membrane,10
Calyx,10
Uropodium,10
Aleurone grain membrane,9
Primary cell wall,9
Spore polar tube,9
Host periplasm,9
Host phagosome,9
Attachment organelle membrane,9
Synaptic cleft,9
Forespore,8
Microneme,8
Trichocyst,8
Cvt vesicle membrane,8
Microneme membrane,8
Postsynaptic recycling endosome membrane,8
Host nucleus envelope,8
Host nucleus lamina,7
Autolysosome membrane,7
Forespore membrane,7
Pollen coat,6
Rhoptry,6
Chloroplast intermembrane space,6
Mitosome,6
Cytoplasmic granule lumen,6
Host trans-Golgi network membrane,6
Host early endosome membrane,6
Podosome membrane,6
Magnetosome,5
Spore outer membrane,5
Forespore inner membrane,5
Rhoptry membrane,5
Multivesicular body lumen,5
Pseudopodium membrane,5
Peribacteroid space,5
Glyoxysome membrane,4
Forespore intermembrane space,4
Thylakoid,4
Host cellular thylakoid membrane,4
Flagellar pocket,4
Cyanelle membrane,4
Anammoxosome,4
Rough endoplasmic reticulum lumen,4
Acidocalcisome membrane,4
Nucleus intermembrane space,4
Host cell wall,4
Barrier septum,4
Lytic vacuole,4
Attachment organelle,3
Prospore,3
Hydrogenosome lumen,3
Chromoplast stroma,3
Endoplasmic reticulum-Golgi intermediate compartment lumen,3
Spore cortex,3
Mitosome membrane,2
H zone,2
Microneme lumen,2
Cornified envelope,2
Plastid inner membrane,2
Chromoplast membrane,2
Mitosome matrix,2
Esterosome membrane,2
Host,2
Nucleolus fibrillar center,2
Inner membrane complex,2
Host cis-Golgi network membrane,2
Autophagosome lumen,2
Amyloplast membrane,2
Plastid outer membrane,2
Symplast,1
Melanosome lumen,1
Host lysosome,1
Mitochondrion envelope,1
Cyanelle stroma,1
Protein storage vacuole lumen,1
Etioplast,1
Rhoptry lumen,1
Late endosome lumen,1
Recycling endosome lumen,1
Host peroxisome,1
Nucleomorph,1
Hydrogenosome membrane,1
Pseudopodium tip,1
Tegument membrane,1
Amyloplast inner membrane,1
Cyanelle thylakoid lumen,1
Cyanelle inner membrane,1
Hyaline layer,1
Apical lamina,1
